customer_id,first_name,last_name,email,phone,date_of_birth,address,city,state,zip_code,country,employment_status,annual_income,credit_score
CUST_0001,Robert,Brown,robert.brown@example.com,+1-658-187-9322,1979-11-08,1785 Maple St,Chicago,FL,47194,USA,SELF_EMPLOYED,20828.13,731
CUST_0002,Lisa,Garcia,lisa.garcia@example.com,+1-710-781-3047,2006-12-21,2847 Pine St,Dallas,NY,35658,USA,RETIRED,75447.25,850
CUST_0003,Robert,Brown,robert.brown@example.com,+1-800-415-9433,1951-03-05,7613 Maple St,San Antonio,CA,20627,USA,SELF_EMPLOYED,20424.76,737
CUST_0004,Sarah,Miller,sarah.miller@example.com,+1-201-489-4843,1964-08-15,8089 Maple St,Los Angeles,OH,99475,USA,SELF_EMPLOYED,29934.4,584
CUST_0005,Mary,Johnson,mary.johnson@example.com,+1-495-824-7863,1998-04-14,8016 Oak St,San Antonio,GA,99789,USA,STUDENT,23072.73,818
CUST_0006,Lisa,Martinez,lisa.martinez@example.com,+1-720-443-3027,1983-12-28,2795 Pine St,New York,GA,50774,USA,UNEMPLOYED,20634.59,713
CUST_0007,John,Davis,john.davis@example.com,+1-334-300-4104,1973-03-01,7315 Maple St,San Jose,GA,62251,USA,UNEMPLOYED,51493.98,717
CUST_0008,Lisa,Garcia,lisa.garcia@example.com,+1-417-602-7910,1981-03-01,9162 Pine St,Chicago,NY,92948,USA,EMPLOYED,42762.75,691
CUST_0009,Mary,Martinez,mary.martinez@example.com,+1-948-754-4242,1948-03-07,4736 Elm St,Houston,AZ,81910,USA,STUDENT,135505.04,597
CUST_0010,Robert,Williams,robert.williams@example.com,+1-539-897-6450,1986-12-02,1763 Oak St,Phoenix,PA,79163,USA,RETIRED,20000.0,789
CUST_0011,James,Miller,james.miller@example.com,+1-558-809-6575,1946-01-01,5630 Main St,Houston,GA,19474,USA,STUDENT,29850.17,553
CUST_0012,John,Williams,john.williams@example.com,+1-696-541-2291,1966-12-24,3681 Oak St,San Diego,GA,64384,USA,UNEMPLOYED,33501.89,740
CUST_0013,John,Jones,john.jones@example.com,+1-329-152-2707,1959-08-17,5891 Elm St,New York,NY,56717,USA,UNEMPLOYED,29118.15,691
CUST_0014,Lisa,Smith,lisa.smith@example.com,+1-386-425-3511,1945-06-24,759 Elm St,Philadelphia,NY,52107,USA,UNEMPLOYED,43394.15,697
CUST_0015,Sarah,Williams,sarah.williams@example.com,+1-839-650-3385,1982-03-19,4836 Pine St,Dallas,NY,93879,USA,RETIRED,25332.69,673
CUST_0016,James,Rodriguez,james.rodriguez@example.com,+1-771-980-3049,1958-07-10,5523 Elm St,San Jose,GA,26371,USA,STUDENT,54543.76,576
CUST_0017,David,Miller,david.miller@example.com,+1-827-686-2648,1999-09-03,5639 Elm St,Houston,OH,69040,USA,UNEMPLOYED,54615.68,747
CUST_0018,James,Williams,james.williams@example.com,+1-597-376-5911,1983-02-14,4087 Pine St,Dallas,TX,48467,USA,EMPLOYED,92308.11,747
CUST_0019,John,Williams,john.williams@example.com,+1-808-383-8022,1986-07-22,9251 Main St,Los Angeles,AZ,64045,USA,STUDENT,56349.96,676
CUST_0020,Michael,Brown,michael.brown@example.com,+1-944-136-3327,1973-01-17,3520 Main St,Phoenix,PA,57202,USA,STUDENT,36105.78,719
CUST_0021,Michael,Smith,michael.smith@example.com,+1-934-665-1569,1956-05-23,5542 Oak St,Los Angeles,GA,42745,USA,SELF_EMPLOYED,34351.4,525
CUST_0022,Mary,Johnson,mary.johnson@example.com,+1-737-966-2841,1982-01-08,8816 Elm St,San Antonio,NC,29190,USA,SELF_EMPLOYED,62412.8,805
CUST_0023,Robert,Rodriguez,robert.rodriguez@example.com,+1-553-933-6919,1972-04-01,953 Pine St,Chicago,FL,23403,USA,EMPLOYED,33434.55,631
CUST_0024,Mary,Garcia,mary.garcia@example.com,+1-252-671-4051,1950-10-22,104 Elm St,Phoenix,NY,90135,USA,STUDENT,43356.41,511
CUST_0025,Sarah,Williams,sarah.williams@example.com,+1-940-573-9308,1953-08-20,6049 Main St,San Jose,FL,35945,USA,RETIRED,20000.0,500
CUST_0026,David,Smith,david.smith@example.com,+1-436-984-4343,1950-10-01,4170 Maple St,Philadelphia,GA,55543,USA,STUDENT,20000.0,665
CUST_0027,Robert,Williams,robert.williams@example.com,+1-403-317-7617,1996-10-16,2579 Maple St,New York,TX,39124,USA,RETIRED,25848.24,673
CUST_0028,John,Jones,john.jones@example.com,+1-715-115-3839,1985-10-10,8627 Oak St,San Diego,AZ,26364,USA,EMPLOYED,36348.45,775
CUST_0029,Sarah,Davis,sarah.davis@example.com,+1-367-941-2066,1996-02-03,7823 Maple St,Chicago,AZ,48304,USA,STUDENT,26700.38,850
CUST_0030,Jane,Williams,jane.williams@example.com,+1-617-214-9808,1958-03-23,4074 Elm St,San Jose,NC,85353,USA,SELF_EMPLOYED,32726.45,650
CUST_0031,David,Johnson,david.johnson@example.com,+1-656-291-3786,1963-11-24,1222 Elm St,Dallas,TX,54425,USA,SELF_EMPLOYED,54525.9,762
CUST_0032,John,Miller,john.miller@example.com,+1-997-372-9787,1976-08-23,828 Maple St,Dallas,IL,31352,USA,UNEMPLOYED,78938.94,656
CUST_0033,Michael,Smith,michael.smith@example.com,+1-566-243-5980,1972-12-09,7366 Elm St,Houston,IL,70921,USA,EMPLOYED,29565.24,798
CUST_0034,Sarah,Jones,sarah.jones@example.com,+1-597-322-5729,1972-05-23,9448 Pine St,Phoenix,NC,31689,USA,STUDENT,30598.48,724
CUST_0035,Jane,Rodriguez,jane.rodriguez@example.com,+1-994-733-2540,1998-10-12,6272 Maple St,San Diego,NC,72856,USA,UNEMPLOYED,37338.72,706
CUST_0036,Lisa,Smith,lisa.smith@example.com,+1-290-813-6977,1986-04-17,4368 Maple St,Chicago,PA,36790,USA,SELF_EMPLOYED,26052.95,836
CUST_0037,Mary,Brown,mary.brown@example.com,+1-316-233-3105,1980-08-09,3727 Maple St,Dallas,NY,33960,USA,STUDENT,55275.53,813
CUST_0038,David,Garcia,david.garcia@example.com,+1-432-404-6645,1987-11-28,3586 Main St,Houston,GA,81726,USA,STUDENT,38133.1,622
CUST_0039,Emily,Garcia,emily.garcia@example.com,+1-321-447-7819,2005-07-25,3819 Oak St,San Diego,AZ,39703,USA,RETIRED,33804.81,639
CUST_0040,Jane,Jones,jane.jones@example.com,+1-660-831-1924,1967-04-27,1681 Pine St,New York,AZ,67043,USA,STUDENT,43082.75,850
CUST_0041,Emily,Johnson,emily.johnson@example.com,+1-573-164-3193,1957-05-15,8515 Main St,Phoenix,FL,11015,USA,UNEMPLOYED,38988.62,803
CUST_0042,David,Martinez,david.martinez@example.com,+1-298-610-1384,1945-09-22,504 Elm St,New York,CA,85880,USA,EMPLOYED,41329.57,823
CUST_0043,David,Jones,david.jones@example.com,+1-344-184-8245,1970-03-21,6700 Main St,San Jose,NC,63330,USA,UNEMPLOYED,80665.92,760
CUST_0044,Sarah,Smith,sarah.smith@example.com,+1-637-217-1770,1959-08-02,4463 Main St,San Jose,NC,68017,USA,RETIRED,24005.87,669
